"","Region Code","Region Name","STP Code","STP Name","Org Code","Org Name","Care Setting","Total Responses","HSCIC Workforce Headcount","Engagement Score","Advocacy","Involvement","Motivation","time"
"1","Y56","LONDON COMMISSIONING REGION","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",2705,22169,6.92448282566091,"7.49573742540494","6.47148800783162","6.80622304374615",NA
"2","Y56","LONDON COMMISSIONING REGION","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJ2","LEWISHAM AND GREENWICH NHS TRUST","Acute and Acute & Community Trusts",433,6850,6.02322299204516,"5.82948421862972","5.96997690531178","6.270207852194",NA
"3","Y56","LONDON COMMISSIONING REGION","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",1285,13297,6.48313878080415,"6.71076523994812","6.29182879377432","6.44682230869001",NA
"4","Y56","LONDON COMMISSIONING REGION","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",195,5486,6.54700854700855,"6.16239316239316","7.06410256410256","6.41452991452991",NA
"5","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",263,20397,6.80023979206287,"7.6026119402985071","6.3659147869674184","6.4321926489226868","202122Q4"
"6","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",1635,20661,7.31017439290733,"7.76531231049121","6.95573074590661","7.20948012232416","202223Q1"
"7","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJ2","LEWISHAM AND GREENWICH NHS TRUST","Acute and Acute & Community Trusts",397,6309,6.11670864819479,"5.85432409739714","5.94668345927792","6.54911838790932","202223Q1"
"8","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJ2","LEWISHAM AND GREENWICH NHS TRUST","Acute and Acute & Community Trusts",470,6157,5.96335697399527,"5.8297872340425529","5.8404255319148932","6.2198581560283692","202122Q4"
"9","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",100,12410,6.61388888888889,"6.9166666666666661","6.3083333333333336","6.6166666666666663","202122Q4"
"10","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Acute and Acute & Community Trusts",1138,12465,6.62537303162082,"6.7369654364382","6.2953216374269","6.84383202099738","202223Q1"
"11","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RPG","OXLEAS NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",26,3519,5.82264957264957,"6.28205128205128","5.19230769230769","5.99358974358974","202223Q1"
"12","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RPG","OXLEAS NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",359,3475,6.48715567935624,"6.4090064995357476","6.4415041782729805","6.6109563602599817","202122Q4"
"13","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RRU","LONDON AMBULANCE SERVICE NHS TRUST","Ambulance Trusts",41,6227,5.79945799457995,"6.1178861788617889","5.1829268292682924","6.0975609756097562","202122Q4"
"14","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",111,5026,6.3013013013013,"5.9159159159159156","6.501501501501501","6.4864864864864868","202122Q4"
"15","Y56","LONDON COMMISSIONING REGION","QKK","Our Healthier South East London STP","RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",125,5124,5.87333333333333,"5.5","6.10666666666667","6.01333333333333","202223Q1"
"16","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","R1H","BARTS HEALTH NHS TRUST","Acute and Acute & Community Trusts",708,16014,6.08758666928744,"6.08603667136812","5.79684557438795","6.37987776210625","202223Q1"
"17","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","R1H","BARTS HEALTH NHS TRUST","Acute and Acute & Community Trusts",818,15760,6.30738929638685,"6.3528932355338226","6.1297881010594955","6.4394865525672369","202122Q4"
"18","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",410,5990,6.8360433604336,"6.78048780487805","6.71544715447155","7.01219512195122","202223Q1"
"19","Y56","LONDON COMMISSIONING REGION","QMF","East London Health & Care Partnership (STP)","RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",1020,5887,6.80010893246187,"6.7630718954248366","6.6879084967320264","6.9493464052287575","202122Q4"
